id,different?,expected result,actual result,result_message different?,expected result_message (normalized),actual result_message (normalized),messages different?,expected messages (normalized),actual messages (normalized)
davinci_pas_client_suite_v201-pas_client_v201_subscription_setup_no_auth-pas_client_v201_subscription_create_test,true,pass,,false,,,false,"",""
davinci_pas_client_suite_v201-pas_client_v201_subscription_setup_no_auth-subscriptions_r4_client_subscription_verification,true,pass,,false,,,false,"! (warning) ""Subscription: Subscription: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""",""
davinci_pas_client_suite_v201-pas_client_v201_subscription_setup_no_auth-pas_client_subscription_pas_conformance_test,true,pass,,false,,,false,"",""
davinci_pas_client_suite_v201-pas_client_v201_subscription_setup_no_auth-subscriptions_r4_client_handshake_notification_verification,true,pass,,false,,,false,"",""
davinci_pas_client_suite_v201-pas_client_v201_subscription_setup_no_auth,true,pass,,false,,,false,"",""
davinci_pas_client_suite_v201-pas_client_v201_workflows_no_auth-pas_client_v201_approval_group-pas_client_v201_approval_submit_test,true,pass,,false,,,false,"! (info) ""\nNo approved response provided in input 'Claim approved response JSON'. Any responses to $submit\nrequests will be generated by Inferno from the submitted Claim.\n\n""",""
davinci_pas_client_suite_v201-pas_client_v201_workflows_no_auth-pas_client_v201_approval_group-pas_client_v201_request_bundle_validation_test,true,fail,,false,The Bundle provided for the Claim/$submit operation is invalid: Bundle response returned and/or entry resources are not conformant. Check messages for issues found.,,false,"! (error) ""Bundle/ReferralAuthorizationBundleExample is not conformant to any of the target profiles: [""http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-pas-request-bundle""].""
! (error) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.diagnosis[0].diagnosis.ofType(CodeableConcept): None of the codings provided are in the value set 'X12 278 Diagnosis Code Value Set' (http://hl7.org/fhir/us/davinci-pas/ValueSet/X12278DiagnosisCodes|2.0.1), and a coding from this value set is required) (codes = http://hl7.org/fhir/sid/icd-10-cm#G89.4)""
! (error) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.item[0].extension[5].value.ofType(Reference): Unable to find a profile match for ServiceRequest/ReferralRequestExample among choices: http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-devicerequest, http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-medicationrequest, http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-nutritionorder, http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-servicerequest""
! (error) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[5].resource/*ServiceRequest/ReferralRequestExample*/.extension[0].extension[0].value.ofType(Reference): Unable to find a profile match for Coverage/InsuranceExample among choices: http://hl7.org/fhir/us/davinci-crd/StructureDefinition/profile-coverage""
! (error) ""Claim/ReferralAuthorizationExample is not conformant to any of the target profiles: [""http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-update""].""
! (error) ""Claim/ReferralAuthorizationExample: Claim.diagnosis[0].diagnosis.ofType(CodeableConcept): None of the codings provided are in the value set 'X12 278 Diagnosis Code Value Set' (http://hl7.org/fhir/us/davinci-pas/ValueSet/X12278DiagnosisCodes|2.0.1), and a coding from this value set is required) (codes = http://hl7.org/fhir/sid/icd-10-cm#G89.4)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.careTeam[0].qualification: ValueSet 'https://valueset.x12.org/x217/005010/request/2010EA/PRV/1/03/00/127' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.careTeam[0].role: ValueSet 'https://valueset.x12.org/x217/005010/request/2010EA/NM1/1/01/00/98' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000E/UM/1/06/00/1338' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.item[0].category: ValueSet 'https://valueset.x12.org/x217/005010/request/2000F/UM/1/03/00/1365' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.item[0].extension[3].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000E/UM/1/01/00/1525' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.item[0].extension[4].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000F/UM/1/02/00/1322' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.item[0].extension[7].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000F/SV2/1/09/00/1345' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.item[0].extension[8].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000F/SV1/1/20/00/1337' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[10].resource/*Encounter/SurgicalEncounterExample*/.hospitalization.admitSource: Unable to check whether the code is in the value set '' because the code system https://www.nubc.org/CodeSystem/PointOfOrigin was not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[10].resource/*Encounter/SurgicalEncounterExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[1].resource/*Organization/UMOExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[1].resource/*Organization/UMOExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[2].resource/*Organization/InsurerExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[2].resource/*Organization/InsurerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[3].resource/*Coverage/InsuranceExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[4].resource/*Patient/SubscriberExample*/.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[4].resource/*Patient/SubscriberExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[5].resource/*ServiceRequest/ReferralRequestExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[6].resource/*PractitionerRole/ReferralPractitionerRoleExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[7].resource/*Practitioner/ReferralPractitionerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[8].resource/*Location/ReferralLocationExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[9].resource/*DocumentReference/episode-summary*/.content[0].format: The code provided (urn:oid:1.3.6.1.4.1.19376.1.2.3#urn:hl7-org:sdwg:ccda-structuredBody:2.1) is not in the value set 'DocumentReference Format Code Set' (http://hl7.org/fhir/ValueSet/formatcodes|4.0.1), and a code should come from this value set unless it has no suitable code (the validator cannot judge what is suitable)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[9].resource/*DocumentReference/episode-summary*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Claim/ReferralAuthorizationExample: Claim.careTeam[0].qualification: ValueSet 'https://valueset.x12.org/x217/005010/request/2010EA/PRV/1/03/00/127' not found""
! (warning) ""Claim/ReferralAuthorizationExample: Claim.careTeam[0].role: ValueSet 'https://valueset.x12.org/x217/005010/request/2010EA/NM1/1/01/00/98' not found""
! (warning) ""Claim/ReferralAuthorizationExample: Claim.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000E/UM/1/06/00/1338' not found""
! (warning) ""Claim/ReferralAuthorizationExample: Claim.item[0].category: ValueSet 'https://valueset.x12.org/x217/005010/request/2000F/UM/1/03/00/1365' not found""
! (warning) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[3].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000E/UM/1/01/00/1525' not found""
! (warning) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[4].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000F/UM/1/02/00/1322' not found""
! (warning) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[7].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000F/SV2/1/09/00/1345' not found""
! (warning) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[8].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2000F/SV1/1/20/00/1337' not found""
! (warning) ""Claim/ReferralAuthorizationExample: Claim: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Coverage/InsuranceExample: Coverage: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Location/ReferralLocationExample: Location: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Organization/InsurerExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
! (warning) ""Organization/InsurerExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Organization/UMOExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
! (warning) ""Organization/UMOExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Patient/SubscriberExample: Patient.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
! (warning) ""Patient/SubscriberExample: Patient: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Practitioner/ReferralPractitionerExample: Practitioner: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""PractitionerRole/ReferralPractitionerRoleExample: PractitionerRole: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""ServiceRequest/ReferralRequestExample: ServiceRequest: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (info) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[3].resource/*Coverage/InsuranceExample*/.relationship.coding[0]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-coverage|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Coverage/InsuranceExample: Coverage.relationship.coding[0]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-coverage|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""",""
davinci_pas_client_suite_v201-pas_client_v201_workflows_no_auth-pas_client_v201_approval_group-pas_client_v201_response_bundle_validation_test,true,pass,,false,,,false,"! (warning) ""Bundle/<UUID>: Bundle.entry[0].resource/*ClaimResponse/<UUID>*/.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""Bundle/<UUID>: Bundle.entry[1].resource/*Patient/SubscriberExample*/.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
! (warning) ""Bundle/<UUID>: Bundle.entry[1].resource/*Patient/SubscriberExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/<UUID>: Bundle.entry[2].resource/*Organization/InsurerExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
! (warning) ""Bundle/<UUID>: Bundle.entry[2].resource/*Organization/InsurerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/<UUID>: Bundle.entry[3].resource/*Organization/UMOExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
! (warning) ""Bundle/<UUID>: Bundle.entry[3].resource/*Organization/UMOExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""ClaimResponse/<UUID>: ClaimResponse.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""ClaimResponse/<UUID>: ClaimResponse: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Organization/InsurerExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
! (warning) ""Organization/InsurerExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Organization/UMOExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
! (warning) ""Organization/UMOExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Patient/SubscriberExample: Patient.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
! (warning) ""Patient/SubscriberExample: Patient: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""",""
davinci_pas_client_suite_v201-pas_client_v201_workflows_no_auth-pas_client_v201_approval_group-pas_client_v201_response_attest,true,pass,,false,,,false,"",""
davinci_pas_client_suite_v201-pas_client_v201_workflows_no_auth-pas_client_v201_approval_group,true,fail,,false,,,false,"",""
